Vehicle_make,Vehicle_type,Vehicle_year,Engine_type,Engine_displacement,Transmission_type,Number_of_cylinders,Vehicle_weight,Vehicle_length,Vehicle_width,Vehicle_height,Safety_rating,Number_of_airbags,ABS_presence,ESC_presence,TCS_presence,TPMS_presence,Crash_location,Weather_conditions,Road_surface_conditions,Time_of_day,Day_of_week,Driver_age,Driver_gender,Crash_severity
Honda,pickup,2011,CNG,1039,manual,6,1348,3944,1505,1634,3,6,1.0,1.0,1.0,1.0,urban,rain,dry,night,Sunday,76,Male,severe
Hyundai,hatchback,2015,electric,2439,manual,6,1802,4994,1890,1515,4,6,True,True,True,True,urban,clear,dry,evening,Wednesday,73,Female,severe
Maruti Suzuki,hatchback,2018,petrol,1160,manual,6,2233,4893,1955,1696,3,6,1.0,0.0,0.0,,urban,clear,dry,afternoon,Sunday,25,Male,moderate
Mahindra,SUV,2001,petrol,2792,manual,4,2079,3870,1976,1460,4,4,True,True,True,True,urban,clear,dry,afternoon,Monday,54,Female,severe
Hyundai,sedan,2016,petrol,1651,automatic,4,1275,4438,1996,1433,2,6,1.0,1.0,1.0,0.0,urban,rain,nan,evening,Friday,53,Female,severe
Maruti Suzuki,hatchback,2013,petrol,1659,automatic,6,1010,4137,1456,1674,4,4,True,True,True,True,rural,clear,dry,morning,Sunday,65,Female,moderate
Tata Motors,hatchback,2015,diesel,1500,manual,6,1204,4421,1679,1572,3,6,1.0,1.0,1.0,0.0,urban,nan,wet,night,Tuesday,61,Male,severe
Honda,sedan,2004,electric,2150,automatic,4,1403,4895,1571,1490,2,1,,1.0,1.0,1.0,rural,clear,dry,afternoon,Friday,26,Male,severe
Maruti Suzuki,hatchback,2009,petrol,1622,automatic,3,2354,4776,1504,1428,2,6,1.0,1.0,0.0,1.0,rural,clear,dry,afternoon,nan,82,Female,moderate
Tata Motors,SUV,2016,electric,2586,automatic,4,1411,3985,1405,1418,2,3,1.0,1.0,0.0,1.0,rural,clear,dry,night,Tuesday,47,Male,severe
Maruti Suzuki,hatchback,2012,petrol,896,automatic,6,2218,3757,1433,1634,1,3,1.0,1.0,1.0,1.0,urban,clear,dry,morning,Sunday,66,Female,moderate
Honda,SUV,2015,petrol,1674,automatic,6,2482,3938,1938,1583,2,3,1.0,1.0,1.0,0.0,urban,clear,dry,afternoon,Saturday,24,Female,severe
Honda,SUV,2008,CNG,1667,automatic,4,1380,4101,1929,1426,4,4,True,True,True,True,urban,clear,nan,afternoon,Wednesday,74,Male,severe
Hyundai,pickup,2003,CNG,1793,manual,4,1953,3517,1916,1529,4,7,True,True,True,True,rural,nan,wet,night,Sunday,70,Female,severe
Mahindra,SUV,2015,electric,2144,automatic,6,824,3718,1871,1502,3,7,1.0,1.0,0.0,1.0,rural,fog,dry,evening,Saturday,34,Male,severe
Maruti Suzuki,hatchback,2022,petrol,2566,automatic,3,1426,4011,1654,1477,3,2,,1.0,,1.0,urban,rain,dry,night,Saturday,39,Female,moderate
Maruti Suzuki,sedan,2010,petrol,1793,manual,4,1913,4701,1955,1407,2,5,1.0,1.0,0.0,1.0,urban,rain,dry,evening,Sunday,59,Female,moderate
Tata Motors,hatchback,2006,diesel,1132,manual,3,2096,3708,1646,1426,1,3,0.0,0.0,1.0,1.0,urban,nan,dry,morning,Wednesday,44,Male,severe
Honda,pickup,2016,petrol,1980,automatic,4,1140,4026,1716,1624,3,5,0.0,1.0,1.0,1.0,nan,fog,nan,night,nan,67,Female,severe
Maruti Suzuki,sedan,2021,petrol,2764,automatic,4,1011,3734,1650,1552,4,2,True,True,True,True,rural,clear,wet,afternoon,Tuesday,39,Male,moderate
Honda,pickup,2012,petrol,898,automatic,4,1713,4658,1747,1448,4,4,True,True,True,True,urban,clear,dry,evening,Wednesday,35,Female,severe
Maruti Suzuki,hatchback,2003,petrol,1043,automatic,3,2446,4732,1474,1644,2,5,1.0,,1.0,1.0,urban,clear,dry,evening,Thursday,40,Female,moderate
Hyundai,pickup,2013,diesel,2300,manual,3,2171,3710,1639,1455,3,6,1.0,1.0,,1.0,urban,rain,wet,night,Saturday,27,Male,severe
Mahindra,hatchback,2009,CNG,2264,manual,6,1387,3772,1535,1755,4,6,True,True,True,True,rural,fog,dry,afternoon,Monday,49,Female,severe
Maruti Suzuki,hatchback,2009,petrol,2198,manual,3,1095,4683,1626,1501,2,7,0.0,1.0,0.0,1.0,urban,nan,dry,night,Wednesday,58,nan,moderate
Honda,pickup,2009,diesel,1166,manual,6,2213,3643,1858,1720,3,7,1.0,1.0,0.0,0.0,urban,nan,dry,evening,Thursday,74,Female,severe
Hyundai,SUV,2011,diesel,2364,manual,6,1911,4233,1995,1686,1,7,1.0,1.0,1.0,1.0,urban,fog,muddy,night,Wednesday,64,Female,severe
Maruti Suzuki,sedan,2001,petrol,2960,manual,6,1809,4857,1485,1626,1,3,1.0,1.0,1.0,1.0,rural,clear,dry,afternoon,nan,22,Male,moderate
Tata Motors,sedan,2022,electric,1847,automatic,3,1226,4001,1859,1715,1,5,1.0,0.0,0.0,0.0,urban,clear,dry,evening,Tuesday,28,Female,severe
Mahindra,sedan,2008,petrol,1082,automatic,4,1765,3943,1511,1612,1,1,1.0,1.0,1.0,1.0,urban,clear,nan,morning,Monday,41,Female,severe
Maruti Suzuki,hatchback,2004,petrol,2115,automatic,4,1712,4609,1468,1561,3,2,1.0,1.0,1.0,1.0,urban,rain,dry,night,Thursday,21,Male,severe
Hyundai,hatchback,2007,petrol,2186,manual,6,1993,3679,1761,1544,3,1,1.0,1.0,1.0,1.0,urban,rain,dry,night,Tuesday,19,Male,severe
Tata Motors,sedan,2020,diesel,2537,automatic,6,1970,4516,1685,1472,1,6,1.0,,1.0,,urban,fog,dry,afternoon,Friday,67,Male,severe
Hyundai,hatchback,2013,petrol,1221,manual,3,2063,4603,1842,1428,4,2,True,True,True,True,urban,clear,dry,night,Monday,38,Male,severe
Hyundai,SUV,2006,electric,1854,manual,4,854,4677,1550,1599,3,6,1.0,1.0,1.0,1.0,rural,clear,dry,morning,nan,80,Male,severe
Tata Motors,SUV,2006,diesel,2801,automatic,6,2427,3678,1909,1610,2,2,1.0,1.0,1.0,1.0,urban,nan,dry,night,Wednesday,27,Male,severe
Hyundai,hatchback,2008,diesel,2211,automatic,4,1564,3798,1883,1533,4,7,True,True,True,True,urban,clear,wet,afternoon,Wednesday,35,Male,severe
Tata Motors,sedan,2002,petrol,1274,automatic,3,2492,4849,1840,1743,4,4,True,True,True,True,urban,clear,dry,night,Thursday,28,Male,severe
Maruti Suzuki,hatchback,2013,petrol,2883,automatic,4,1680,4254,1575,1525,4,2,True,True,True,True,urban,clear,dry,afternoon,Wednesday,56,Male,moderate
Tata Motors,hatchback,2016,CNG,1157,manual,6,2343,3508,1953,1405,1,7,0.0,,1.0,1.0,urban,rain,dry,morning,Wednesday,27,Male,severe
Tata Motors,pickup,2017,CNG,1357,automatic,3,1636,4951,1428,1503,4,2,True,True,True,True,urban,clear,dry,evening,Sunday,48,Male,severe
Mahindra,hatchback,2011,electric,2150,manual,3,2122,3691,1996,1530,3,3,1.0,1.0,1.0,1.0,urban,nan,dry,evening,nan,46,Male,severe
Tata Motors,pickup,2021,diesel,1867,manual,4,2433,4613,1952,1494,4,7,True,True,True,True,urban,fog,dry,afternoon,Monday,36,Male,severe
Tata Motors,SUV,2013,diesel,2476,automatic,6,1361,4525,1774,1558,4,1,True,True,True,True,urban,clear,dry,afternoon,Tuesday,21,Female,severe
Maruti Suzuki,sedan,2012,petrol,824,manual,4,1524,4943,1830,1475,2,5,1.0,,1.0,1.0,rural,fog,nan,afternoon,Friday,68,Female,moderate
Mahindra,hatchback,2013,electric,1439,automatic,4,803,4526,1784,1579,2,4,1.0,0.0,0.0,1.0,rural,clear,dry,afternoon,nan,24,Female,severe
Honda,SUV,2008,diesel,2582,manual,4,1163,4449,1750,1535,3,2,1.0,1.0,1.0,0.0,rural,rain,nan,night,nan,77,Female,severe
Maruti Suzuki,sedan,2018,petrol,2008,manual,6,2115,4928,1619,1634,4,3,True,True,True,True,urban,rain,wet,afternoon,Saturday,32,Female,moderate
Maruti Suzuki,sedan,2001,petrol,973,manual,4,2212,3991,1893,1489,1,2,1.0,0.0,0.0,1.0,rural,nan,dry,evening,Thursday,59,Male,moderate
Honda,SUV,2010,petrol,1857,automatic,6,1552,4788,1546,1650,2,4,1.0,1.0,1.0,1.0,rural,clear,dry,evening,nan,26,Male,severe
Tata Motors,pickup,2016,diesel,985,automatic,3,1822,4279,1976,1681,1,1,1.0,0.0,1.0,1.0,rural,rain,muddy,evening,Friday,49,Female,severe
Hyundai,hatchback,2001,petrol,2104,automatic,3,2294,4467,1601,1798,3,6,1.0,1.0,0.0,1.0,urban,clear,dry,afternoon,Tuesday,79,Female,severe
Mahindra,hatchback,2018,CNG,1800,automatic,3,2354,4766,1812,1583,3,5,,1.0,0.0,1.0,urban,nan,dry,evening,Wednesday,19,Female,severe
Hyundai,sedan,2006,electric,2118,manual,6,1225,4517,1619,1485,4,3,True,True,True,True,urban,clear,muddy,evening,nan,47,Male,severe
Honda,sedan,2017,electric,1327,automatic,4,1198,4176,1782,1521,3,4,1.0,1.0,0.0,,nan,nan,nan,night,nan,77,Female,severe
Maruti Suzuki,hatchback,2012,petrol,1483,manual,4,1753,4224,1949,1782,4,4,True,True,True,True,urban,clear,wet,afternoon,Sunday,28,Female,moderate
Maruti Suzuki,hatchback,2004,petrol,2367,automatic,3,1103,4883,1650,1717,1,7,1.0,,1.0,1.0,rural,clear,nan,morning,Wednesday,51,nan,moderate
Mahindra,pickup,2017,diesel,1374,manual,4,1639,3694,1677,1540,1,7,1.0,1.0,1.0,1.0,rural,clear,wet,afternoon,Sunday,36,Female,severe
Maruti Suzuki,hatchback,2022,petrol,2834,manual,6,903,3998,1453,1445,2,7,1.0,1.0,1.0,1.0,nan,clear,nan,afternoon,Monday,45,Male,moderate
Maruti Suzuki,sedan,2015,petrol,2684,manual,4,2154,4067,1837,1581,2,2,1.0,0.0,1.0,,nan,rain,muddy,evening,Sunday,44,Female,moderate
Mahindra,hatchback,2014,diesel,2124,manual,3,1163,4736,1610,1664,4,3,True,True,True,True,rural,rain,dry,evening,nan,39,Male,severe
Mahindra,pickup,2007,diesel,1108,manual,6,2189,3653,1917,1743,1,5,0.0,1.0,1.0,,urban,clear,dry,morning,Wednesday,27,Female,severe
Honda,hatchback,2014,electric,2012,manual,4,1905,4569,1600,1658,3,6,1.0,1.0,1.0,1.0,urban,clear,dry,night,Monday,36,nan,severe
Maruti Suzuki,hatchback,2000,petrol,2641,automatic,4,1366,3680,1442,1411,1,4,1.0,0.0,1.0,,urban,clear,dry,morning,Sunday,38,Male,moderate
Maruti Suzuki,sedan,2016,petrol,2234,manual,4,1599,3725,1647,1440,2,5,1.0,1.0,0.0,1.0,rural,clear,nan,evening,Wednesday,61,Male,moderate
Honda,SUV,2014,CNG,2476,automatic,6,1475,4555,1764,1585,3,1,1.0,1.0,1.0,0.0,urban,rain,dry,morning,Tuesday,25,Female,severe
Tata Motors,hatchback,2013,diesel,1657,automatic,4,1908,3846,1717,1410,2,7,1.0,,1.0,1.0,rural,rain,dry,morning,Monday,31,Male,severe
Tata Motors,pickup,2013,CNG,2374,automatic,3,2042,3945,1894,1546,3,2,1.0,1.0,1.0,1.0,urban,clear,dry,evening,Monday,38,Male,severe
Tata Motors,sedan,2009,petrol,992,manual,3,1167,3674,1770,1472,1,5,1.0,1.0,1.0,,rural,nan,dry,evening,nan,74,Male,severe
Honda,pickup,2001,electric,1986,manual,3,1524,4328,1958,1564,2,4,1.0,1.0,1.0,,nan,clear,muddy,afternoon,Saturday,29,Female,severe
Maruti Suzuki,hatchback,2005,petrol,852,manual,3,1514,4653,1587,1537,3,7,1.0,1.0,1.0,1.0,rural,nan,dry,evening,Thursday,63,Male,moderate
Honda,hatchback,2016,diesel,1274,manual,6,1624,4820,1670,1728,2,4,0.0,0.0,1.0,,rural,clear,dry,night,Saturday,78,Female,severe
Honda,hatchback,2004,petrol,973,manual,3,2065,3751,1980,1432,1,4,1.0,1.0,1.0,0.0,rural,rain,dry,afternoon,Saturday,79,Female,severe
Tata Motors,SUV,2004,diesel,1722,automatic,4,1985,4975,1657,1604,2,4,1.0,1.0,1.0,1.0,rural,clear,dry,afternoon,Sunday,33,Female,severe
Hyundai,hatchback,2014,diesel,2613,manual,3,2002,4944,1641,1547,2,3,1.0,1.0,1.0,0.0,urban,clear,dry,evening,Wednesday,76,Male,severe
Maruti Suzuki,sedan,2014,petrol,1499,automatic,6,891,4150,1493,1730,4,6,True,True,True,True,nan,clear,dry,evening,Sunday,58,Female,moderate
Tata Motors,SUV,2019,electric,2808,manual,4,2323,3983,1907,1632,3,2,1.0,1.0,0.0,,rural,clear,dry,afternoon,Monday,63,Male,severe
Hyundai,pickup,2010,petrol,2154,manual,4,2473,4880,1694,1748,4,3,True,True,True,True,rural,clear,dry,afternoon,Wednesday,59,Female,severe
Hyundai,SUV,2004,CNG,2076,automatic,6,2329,4123,1879,1510,3,6,1.0,1.0,1.0,0.0,urban,rain,dry,morning,nan,22,nan,severe
Mahindra,SUV,2000,electric,2922,automatic,4,1423,3657,1419,1524,4,6,True,True,True,True,urban,fog,wet,morning,Wednesday,27,Male,severe
Maruti Suzuki,sedan,2010,petrol,958,manual,6,968,4068,1803,1523,1,3,1.0,1.0,1.0,0.0,urban,clear,dry,afternoon,nan,76,Female,moderate
Hyundai,sedan,2010,diesel,2637,manual,4,1186,4524,1818,1668,4,2,True,True,True,True,urban,clear,dry,afternoon,Friday,59,Male,severe
Tata Motors,pickup,2005,petrol,1315,automatic,6,2144,3508,1815,1523,4,6,True,True,True,True,nan,nan,dry,morning,Wednesday,71,Female,severe
Mahindra,sedan,2022,diesel,1825,manual,4,900,4008,1928,1635,3,7,1.0,0.0,,0.0,rural,rain,dry,night,Thursday,77,Female,severe
Maruti Suzuki,hatchback,2007,petrol,1458,manual,3,2119,4043,1962,1718,4,7,True,True,True,True,rural,clear,muddy,afternoon,Monday,20,nan,moderate
Honda,hatchback,2001,diesel,1477,manual,6,1808,4088,1535,1541,3,4,0.0,1.0,0.0,1.0,urban,clear,dry,night,Wednesday,37,Female,severe
Tata Motors,SUV,2014,diesel,1600,manual,4,992,4312,1514,1600,2,1,1.0,0.0,,1.0,nan,clear,dry,afternoon,Monday,61,Male,moderate
Hyundai,SUV,2022,electric,1650,manual,6,2284,3594,1905,1453,1,3,0.0,1.0,0.0,1.0,nan,clear,muddy,afternoon,Sunday,54,Female,moderate
Hyundai,sedan,2021,electric,1251,manual,3,1669,4196,1579,1482,1,5,1.0,1.0,1.0,1.0,rural,rain,dry,evening,nan,38,Female,severe
Tata Motors,hatchback,2008,CNG,2388,automatic,3,1518,4800,1724,1505,3,6,1.0,0.0,1.0,,urban,clear,dry,morning,Sunday,58,Male,severe
Hyundai,hatchback,2014,electric,1285,manual,6,2109,4472,1589,1510,2,3,1.0,1.0,1.0,0.0,urban,clear,dry,night,Monday,25,Female,severe
Mahindra,hatchback,2007,electric,1930,automatic,6,2039,4421,1590,1772,1,2,1.0,1.0,1.0,0.0,nan,clear,wet,afternoon,Monday,61,Male,severe
Maruti Suzuki,sedan,2015,petrol,1366,manual,3,2279,4484,1688,1727,1,7,0.0,1.0,1.0,1.0,rural,rain,wet,morning,Thursday,69,Female,moderate
Mahindra,sedan,2013,diesel,1045,automatic,3,1762,3616,1565,1737,2,3,1.0,1.0,1.0,1.0,urban,nan,muddy,morning,Thursday,29,Male,severe
Hyundai,pickup,2014,petrol,1688,manual,3,1774,4979,1657,1625,4,7,True,True,True,True,rural,clear,dry,evening,nan,70,nan,severe
Honda,hatchback,2019,CNG,800,automatic,3,1027,3859,1635,1691,3,5,1.0,1.0,1.0,0.0,rural,clear,muddy,afternoon,Saturday,61,Male,severe
Maruti Suzuki,hatchback,2012,petrol,2984,automatic,3,1160,4553,1793,1408,3,3,1.0,0.0,0.0,1.0,urban,fog,dry,evening,Friday,58,Male,moderate
Maruti Suzuki,sedan,2008,petrol,950,manual,3,842,3824,1884,1607,4,7,True,True,True,True,nan,rain,dry,afternoon,Friday,44,Male,moderate
Tata Motors,SUV,2000,diesel,1677,automatic,6,980,3573,1977,1660,3,1,,1.0,1.0,1.0,urban,clear,wet,morning,Saturday,35,Female,severe
Tata Motors,sedan,2005,CNG,2310,automatic,3,1310,4478,1859,1642,2,3,0.0,1.0,1.0,1.0,rural,clear,nan,evening,Saturday,51,Male,severe
Honda,SUV,2007,electric,2483,manual,6,1261,4942,1884,1542,2,5,1.0,,0.0,1.0,urban,nan,wet,afternoon,nan,59,Male,severe
Maruti Suzuki,sedan,2019,petrol,1928,manual,6,1085,4306,1414,1463,1,6,1.0,1.0,1.0,0.0,rural,clear,muddy,morning,nan,48,Female,moderate
Honda,SUV,2017,petrol,1586,automatic,6,2120,4786,1870,1447,4,4,True,True,True,True,urban,nan,muddy,afternoon,nan,72,Female,severe
Tata Motors,sedan,2017,CNG,1497,manual,4,2379,4969,1644,1566,2,1,1.0,1.0,1.0,1.0,urban,clear,dry,night,Saturday,72,Female,severe
Tata Motors,SUV,2016,petrol,2754,automatic,4,1860,4050,1650,1552,3,6,1.0,1.0,1.0,1.0,urban,clear,dry,afternoon,Friday,37,Male,severe
Maruti Suzuki,hatchback,2020,petrol,2030,manual,6,1906,3903,1565,1607,1,4,0.0,0.0,1.0,1.0,rural,nan,muddy,evening,Monday,40,Male,moderate
Mahindra,pickup,2015,electric,1485,automatic,6,1732,3603,1903,1741,2,3,1.0,1.0,0.0,1.0,urban,clear,nan,evening,nan,78,Female,severe
Hyundai,pickup,2012,CNG,1727,automatic,4,1056,4963,1605,1769,4,5,True,True,True,True,urban,nan,muddy,evening,Sunday,39,Male,severe
Tata Motors,hatchback,2021,diesel,2642,automatic,3,2040,4205,1520,1607,2,6,,1.0,0.0,0.0,urban,rain,dry,evening,Sunday,78,Female,severe
Tata Motors,hatchback,2003,electric,2532,automatic,6,1321,3642,1887,1624,1,2,0.0,1.0,0.0,1.0,rural,rain,nan,morning,Friday,60,Male,severe
Mahindra,hatchback,2003,electric,1539,manual,3,1549,4213,1678,1788,3,1,0.0,1.0,,0.0,rural,clear,wet,night,Monday,26,Female,severe
Mahindra,sedan,2020,diesel,1070,automatic,4,1849,4416,1936,1774,4,7,True,True,True,True,nan,clear,dry,evening,Monday,40,Female,minor
Honda,SUV,2013,electric,1704,manual,6,2074,3706,1885,1662,3,6,1.0,1.0,1.0,,rural,rain,nan,night,Friday,60,Female,severe
Honda,pickup,2004,electric,1510,manual,3,2038,4045,1907,1545,2,5,0.0,1.0,0.0,1.0,urban,clear,muddy,evening,Thursday,18,Male,severe
Hyundai,SUV,2015,diesel,1584,automatic,6,1456,4784,1618,1527,4,6,True,True,True,True,rural,rain,dry,afternoon,Saturday,70,Female,severe
Hyundai,hatchback,2013,electric,1789,automatic,6,1119,4323,1599,1661,1,2,0.0,1.0,1.0,1.0,rural,clear,dry,night,Sunday,72,Male,severe
Maruti Suzuki,hatchback,2013,petrol,2350,automatic,4,1533,4606,1482,1512,2,1,1.0,1.0,1.0,,urban,fog,dry,afternoon,Monday,66,Female,moderate
Honda,SUV,2013,electric,2824,automatic,6,1210,3762,1675,1667,1,1,,1.0,0.0,1.0,rural,rain,dry,morning,Friday,57,Male,severe
Tata Motors,pickup,2013,electric,2669,manual,3,1258,3671,1621,1763,2,3,1.0,1.0,1.0,,urban,clear,wet,morning,Thursday,66,Female,severe
Honda,sedan,2018,CNG,1892,automatic,6,2147,3861,1940,1560,3,7,1.0,1.0,,1.0,urban,nan,wet,morning,Tuesday,80,nan,severe
Tata Motors,SUV,2002,electric,2677,automatic,4,2353,3541,1461,1676,1,2,1.0,1.0,0.0,1.0,urban,nan,dry,afternoon,Wednesday,71,Female,severe
Mahindra,hatchback,2016,electric,2381,manual,3,1138,3773,1797,1585,3,7,,0.0,1.0,1.0,urban,clear,muddy,afternoon,nan,72,Male,severe
Honda,hatchback,2013,electric,2243,manual,3,1027,3999,1565,1609,3,6,1.0,,0.0,1.0,urban,clear,dry,night,Saturday,69,Male,severe
Mahindra,sedan,2009,CNG,847,automatic,4,2059,3631,1530,1441,1,1,1.0,1.0,1.0,,rural,clear,nan,afternoon,nan,18,Female,severe
Hyundai,SUV,2012,petrol,2117,automatic,6,1165,4976,1710,1621,4,1,True,True,True,True,rural,rain,dry,morning,Wednesday,18,Male,severe
Hyundai,sedan,2021,electric,1378,automatic,3,1233,4409,1605,1701,1,3,1.0,1.0,0.0,1.0,urban,rain,dry,evening,Wednesday,27,Female,severe
Maruti Suzuki,sedan,2003,petrol,1912,automatic,4,1657,3924,1804,1658,2,6,1.0,1.0,1.0,1.0,urban,clear,muddy,evening,Wednesday,18,Female,moderate
Honda,pickup,2010,petrol,2554,automatic,4,1248,4442,1562,1452,1,3,,1.0,1.0,1.0,urban,nan,dry,morning,Friday,22,Male,severe
Mahindra,pickup,2014,diesel,2899,automatic,3,1306,4108,1699,1461,2,4,1.0,,1.0,0.0,urban,clear,dry,afternoon,Saturday,58,Female,severe
Tata Motors,hatchback,2014,diesel,1221,automatic,6,2099,4576,1571,1796,1,4,1.0,1.0,1.0,0.0,nan,clear,dry,afternoon,Saturday,69,Male,moderate
Hyundai,SUV,2001,petrol,2172,automatic,6,2456,4288,1568,1706,3,4,1.0,1.0,1.0,0.0,rural,rain,dry,evening,Tuesday,42,Male,severe
Hyundai,pickup,2010,CNG,1245,automatic,4,861,4920,1554,1717,1,4,1.0,1.0,1.0,1.0,urban,rain,dry,evening,Wednesday,28,Male,severe
Tata Motors,hatchback,2001,electric,1760,automatic,6,2154,3693,1491,1604,4,2,True,True,True,True,urban,clear,nan,morning,Wednesday,84,Female,severe
Mahindra,SUV,2022,electric,1992,manual,4,986,4922,1555,1798,1,2,0.0,0.0,0.0,1.0,rural,clear,dry,evening,Monday,22,Male,severe
Mahindra,hatchback,2004,electric,2471,manual,4,2360,4506,1404,1489,2,5,1.0,1.0,0.0,1.0,urban,clear,wet,evening,Saturday,83,Female,severe
Honda,pickup,2012,diesel,1135,automatic,6,1691,3963,1590,1469,2,5,,1.0,1.0,1.0,rural,clear,dry,night,Tuesday,47,Female,severe
Honda,hatchback,2000,diesel,1940,automatic,4,2328,4878,1950,1490,4,6,True,True,True,True,nan,clear,dry,night,Thursday,28,Male,severe
Maruti Suzuki,hatchback,2006,petrol,1824,automatic,3,1650,4696,1409,1667,4,4,True,True,True,True,rural,fog,dry,night,nan,57,Male,moderate
Hyundai,SUV,2006,petrol,2616,automatic,4,1407,4863,1974,1744,3,7,1.0,0.0,1.0,1.0,urban,clear,dry,morning,Saturday,27,Female,severe
Honda,hatchback,2009,diesel,1337,automatic,3,2144,3692,1483,1446,4,7,True,True,True,True,urban,clear,wet,night,Friday,80,Female,severe
Mahindra,SUV,2005,electric,2104,manual,4,2016,4953,1876,1415,1,7,1.0,0.0,1.0,0.0,rural,rain,dry,morning,Monday,47,Male,severe
Tata Motors,hatchback,2019,petrol,1307,automatic,4,1053,3886,1428,1765,2,4,1.0,1.0,,1.0,urban,clear,dry,morning,Monday,53,Male,severe
Mahindra,SUV,2011,electric,2160,manual,6,1378,4156,1811,1799,4,2,True,True,True,True,urban,fog,dry,night,Saturday,28,Female,severe
Hyundai,hatchback,2012,diesel,1580,automatic,6,1113,4500,1794,1594,4,4,True,True,True,True,nan,clear,wet,night,Wednesday,82,Male,severe
Mahindra,hatchback,2010,CNG,1559,automatic,6,1805,4991,1612,1689,1,6,1.0,1.0,0.0,,rural,clear,dry,afternoon,Wednesday,72,Male,severe
Maruti Suzuki,sedan,2017,petrol,927,automatic,6,2375,4854,1870,1633,3,4,1.0,1.0,1.0,1.0,rural,fog,wet,morning,Wednesday,43,Female,moderate
Hyundai,sedan,2001,diesel,2092,automatic,4,2047,4952,1620,1701,2,2,1.0,1.0,1.0,1.0,nan,nan,dry,afternoon,Saturday,33,Male,severe
Tata Motors,SUV,2015,petrol,2153,automatic,4,1230,4294,1551,1486,3,1,1.0,1.0,1.0,,rural,clear,dry,night,Tuesday,37,Male,severe
Maruti Suzuki,hatchback,2001,petrol,1765,automatic,6,2179,4519,1434,1463,4,2,True,True,True,True,urban,rain,dry,morning,nan,30,Female,moderate
Hyundai,hatchback,2018,diesel,1359,automatic,6,2250,4739,1460,1589,2,7,1.0,1.0,1.0,1.0,urban,rain,dry,afternoon,nan,70,Female,severe
Tata Motors,sedan,2005,petrol,2022,automatic,4,2215,4799,1675,1581,4,6,True,True,True,True,rural,clear,dry,evening,Saturday,33,Male,severe
Maruti Suzuki,hatchback,2000,petrol,1723,manual,6,1021,3607,1621,1481,1,4,1.0,1.0,1.0,1.0,nan,clear,wet,evening,nan,84,Male,moderate
Maruti Suzuki,hatchback,2010,petrol,2427,automatic,6,1926,3755,1822,1530,2,2,1.0,1.0,1.0,1.0,rural,clear,dry,evening,Wednesday,72,Male,moderate
Hyundai,pickup,2017,diesel,1871,automatic,3,1117,4602,1803,1638,3,5,1.0,,0.0,1.0,urban,rain,dry,afternoon,Tuesday,78,Male,severe
Honda,sedan,2009,electric,1340,automatic,6,1559,3889,1997,1539,2,1,,0.0,1.0,1.0,rural,clear,dry,afternoon,Tuesday,30,Female,severe
Maruti Suzuki,sedan,2017,petrol,1999,automatic,6,2497,4865,1999,1437,4,1,True,True,True,True,rural,rain,dry,evening,Friday,73,Male,moderate
Maruti Suzuki,sedan,2000,petrol,1310,automatic,3,2360,4828,1847,1733,1,1,,1.0,1.0,1.0,nan,clear,dry,afternoon,Tuesday,69,Male,moderate
Tata Motors,pickup,2018,electric,2866,manual,6,2489,4224,1563,1490,1,7,1.0,0.0,1.0,0.0,rural,clear,dry,morning,Tuesday,49,Male,severe
Mahindra,pickup,2015,diesel,1154,automatic,3,2042,4732,1540,1545,3,6,0.0,0.0,1.0,1.0,urban,clear,nan,night,Sunday,39,Female,severe
Hyundai,hatchback,2006,electric,1144,manual,4,2261,4534,1656,1483,3,2,0.0,1.0,0.0,1.0,urban,clear,dry,evening,Wednesday,70,Male,severe
Hyundai,sedan,2014,diesel,1883,manual,3,1565,4669,1902,1562,4,5,True,True,True,True,rural,clear,dry,evening,Saturday,78,Male,severe
Honda,sedan,2000,diesel,2590,automatic,3,1526,4558,1769,1739,2,7,1.0,1.0,1.0,1.0,nan,nan,wet,afternoon,nan,27,Male,severe
Honda,pickup,2022,CNG,946,manual,6,1992,4874,1668,1597,1,3,1.0,1.0,1.0,1.0,nan,clear,dry,night,Wednesday,27,Female,severe
Hyundai,SUV,2020,CNG,1580,automatic,4,2415,4039,1562,1757,1,5,1.0,0.0,,1.0,nan,clear,dry,afternoon,Thursday,56,Male,moderate
Honda,pickup,2008,petrol,2523,manual,6,871,4355,1929,1731,4,5,True,True,True,True,rural,clear,dry,morning,Saturday,32,Female,severe
Tata Motors,SUV,2001,diesel,2222,automatic,6,2398,3608,1451,1672,2,4,1.0,,1.0,1.0,urban,clear,wet,afternoon,Tuesday,80,Female,severe
Hyundai,pickup,2016,electric,1386,manual,3,1789,3523,1725,1469,2,5,1.0,1.0,1.0,1.0,nan,rain,muddy,evening,Friday,54,Female,severe
Honda,sedan,2009,diesel,2094,automatic,4,1255,3998,1457,1702,3,2,1.0,,1.0,1.0,rural,clear,nan,night,nan,32,Male,severe
Hyundai,pickup,2005,CNG,2342,manual,6,1898,4489,1682,1709,3,1,1.0,1.0,1.0,1.0,rural,rain,dry,afternoon,nan,21,Male,severe
Mahindra,pickup,2004,diesel,2604,manual,3,2086,3871,1456,1670,2,6,1.0,1.0,1.0,1.0,urban,rain,wet,morning,Saturday,80,Female,severe
